# T[K]-P[bar] grid
# logT = [  2.50,  7.50,101]
# logP = [ -4.00,  9.00,101]
   4.4668359215096305E-010   562.341325190349080394951039776481208      
   6.0255958607435815E-010   562.341325190349080394951039776481208      
   8.1283051616409944E-010   562.341325190349080394951039776481208      
   1.0964781961431852E-009   562.341325190349080394951039776481208      
   1.4791083881682072E-009   562.341325190349080394951039776481208      
   1.9952623149688791E-009   562.341325190349080394951039776481208      
   2.6915348039269167E-009   562.341325190349080394951039776481208      
   3.6307805477010139E-009   562.341325190349080394951039776481208      
   4.8977881936844609E-009   562.341325190349080394951039776481208      
   6.6069344800759643E-009   562.341325190349080394951039776481208      
   8.9125093813374596E-009   562.341325190349080394951039776481208      
   1.2022644346174132E-008   562.341325190349080394951039776481208      
   1.6218100973589300E-008   562.341325190349080394951039776481208      
   2.1877616239495521E-008   562.341325190349080394951039776481208      
   2.9512092266663871E-008   562.341325190349080394951039776481208      
   3.9810717055349736E-008   562.341325190349080394951039776481208      
   5.3703179637025271E-008   562.341325190349080394951039776481208      
   7.2443596007499061E-008   562.341325190349080394951039776481208      
   9.7723722095581110E-008   562.341325190349080394951039776481208      
   1.3182567385564072E-007   562.341325190349080394951039776481208      
   1.7782794100389230E-007   562.341325190349080394951039776481208      
   2.3988329190194898E-007   562.341325190349080394951039776481208      
   3.2359365692962843E-007   562.341325190349080394951039776481208      
   4.3651583224016610E-007   562.341325190349080394951039776481208      
   5.8884365535558903E-007   562.341325190349080394951039776481208      
   7.9432823472428220E-007   562.341325190349080394951039776481208      
   1.0715193052376070E-006   562.341325190349080394951039776481208      
   1.4454397707459279E-006   562.341325190349080394951039776481208      
   1.9498445997580454E-006   562.341325190349080394951039776481208      
   2.6302679918953812E-006   562.341325190349080394951039776481208      
   3.5481338923357534E-006   562.341325190349080394951039776481208      
   4.7863009232263809E-006   562.341325190349080394951039776481208      
   6.4565422903465625E-006   562.341325190349080394951039776481208      
   8.7096358995608141E-006   562.341325190349080394951039776481208      
   1.1748975549395302E-005   562.341325190349080394951039776481208      
   1.5848931924611141E-005   562.341325190349080394951039776481208      
   2.1379620895022323E-005   562.341325190349080394951039776481208      
   2.8840315031266060E-005   562.341325190349080394951039776481208      
   3.8904514499428046E-005   562.341325190349080394951039776481208      
   5.2480746024977334E-005   562.341325190349080394951039776481208      
   7.0794578438413880E-005   562.341325190349080394951039776481208      
   9.5499258602143688E-005   562.341325190349080394951039776481208      
   1.2882495516931347E-004   562.341325190349080394951039776481208      
   1.7378008287493763E-004   562.341325190349080394951039776481208      
   2.3442288153199226E-004   562.341325190349080394951039776481208      
   3.1622776601683794E-004   562.341325190349080394951039776481208      
   4.2657951880159252E-004   562.341325190349080394951039776481208      
   5.7543993733715664E-004   562.341325190349080394951039776481208      
   7.7624711662869280E-004   562.341325190349080394951039776481208      
   1.0471285480509007E-003   562.341325190349080394951039776481208      
   1.4125375446227555E-003   562.341325190349080394951039776481208      
   1.9054607179632482E-003   562.341325190349080394951039776481208      
   2.5703957827688645E-003   562.341325190349080394951039776481208      
   3.4673685045253171E-003   562.341325190349080394951039776481208      
   4.6773514128719811E-003   562.341325190349080394951039776481208      
   6.3095734448019433E-003   562.341325190349080394951039776481208      
   8.5113803820237779E-003   562.341325190349080394951039776481208      
   1.1481536214968840E-002   562.341325190349080394951039776481208      
   1.5488166189124795E-002   562.341325190349080394951039776481208      
   2.0892961308540410E-002   562.341325190349080394951039776481208      
   2.8183829312644609E-002   562.341325190349080394951039776481208      
   3.8018939632056131E-002   562.341325190349080394951039776481208      
   5.1286138399136587E-002   562.341325190349080394951039776481208      
   6.9183097091893617E-002   562.341325190349080394951039776481208      
   9.3325430079699248E-002   562.341325190349080394951039776481208      
  0.12589254117941662        562.341325190349080394951039776481208      
  0.16982436524617459        562.341325190349080394951039776481208      
  0.22908676527677702        562.341325190349080394951039776481208      
  0.30902954325135917        562.341325190349080394951039776481208      
  0.41686938347033636        562.341325190349080394951039776481208      
  0.56234132519034918        562.341325190349080394951039776481208      
  0.75857757502918510        562.341325190349080394951039776481208      
   1.0232929922807537        562.341325190349080394951039776481208      
   1.3803842646028868        562.341325190349080394951039776481208      
   1.8620871366628655        562.341325190349080394951039776481208      
   2.5118864315095824        562.341325190349080394951039776481208      
   3.3884415613920345        562.341325190349080394951039776481208      
   4.5708818961487516        562.341325190349080394951039776481208      
   6.1659500186148355        562.341325190349080394951039776481208      
   8.3176377110267090        562.341325190349080394951039776481208      
   11.220184543019652        562.341325190349080394951039776481208      
   15.135612484362071        562.341325190349080394951039776481208      
   20.417379446695318        562.341325190349080394951039776481208      
   27.542287033381744        562.341325190349080394951039776481208      
   37.153522909717275        562.341325190349080394951039776481208      
   50.118723362727351        562.341325190349080394951039776481208      
   67.608297539198190        562.341325190349080394951039776481208      
   91.201083935591143        562.341325190349080394951039776481208      
   123.02687708123811        562.341325190349080394951039776481208      
   165.95869074375631        562.341325190349080394951039776481208      
   223.87211385683378        562.341325190349080394951039776481208      
   301.99517204020191        562.341325190349080394951039776481208      
   407.38027780411386        562.341325190349080394951039776481208      
   549.54087385762477        562.341325190349080394951039776481208      
   741.31024130091919        562.341325190349080394951039776481208      
   1000.0000000000000        562.341325190349080394951039776481208      
   1.0000000000000000E-010   630.957344480193249434360136622343641      
   1.3489628825916532E-010   630.957344480193249434360136622343641      
   1.8197008586099827E-010   630.957344480193249434360136622343641      
   2.4547089156850315E-010   630.957344480193249434360136622343641      
   3.3113112148259112E-010   630.957344480193249434360136622343641      
   4.4668359215096305E-010   630.957344480193249434360136622343641      
   6.0255958607435815E-010   630.957344480193249434360136622343641      
   8.1283051616409944E-010   630.957344480193249434360136622343641      
   1.0964781961431852E-009   630.957344480193249434360136622343641      
   1.4791083881682072E-009   630.957344480193249434360136622343641      
   1.9952623149688791E-009   630.957344480193249434360136622343641      
